State,Model,RMSE,MAE,MAPE,is_best
Alabama,SARIMA,3564494.6167614865,670394.2568122569,0.3176585650703573,False
Alabama,Prophet,5236805.228612434,3241174.2187600904,1.623587348401751,False
Alabama,XGBoost,3400145.496351667,958209.3236556873,0.467036945908547,True
Arizona,SARIMA,3312387.795608984,788127.3054198335,0.34887953247934667,False
Arizona,Prophet,5119363.351166231,4226386.606592177,1.9419736202434368,False
Arizona,XGBoost,3244526.9009627714,956571.3320224748,0.4257641390812997,True
Arkansas,SARIMA,1690891.8578555197,419031.91123201646,0.3783671285468293,True
Arkansas,Prophet,2181336.2330958648,1555155.3766471166,1.4483318005950399,False
Arkansas,XGBoost,1769094.4749161084,527447.5780096313,0.4781427599053847,False
California,SARIMA,9949847.876375392,2470606.818494203,0.2787974510202382,False
California,Prophet,32914729.66590821,26536135.37909605,3.1049696147706554,False
California,XGBoost,9898527.281415198,3055011.1820827,0.34764648323746866,True
Colorado,SARIMA,2576779.611500082,558352.5460390049,0.3103011224929332,False
Colorado,Prophet,4017223.6227095537,2798538.487046747,1.6261341380290457,False
Colorado,XGBoost,2575493.378434069,755217.1702046575,0.42522042187559245,True
Connecticut,SARIMA,1732796.8147488711,288680.2508828084,0.31092367297188434,False
Connecticut,Prophet,2894149.989096277,2245890.6243530284,2.648717341819772,False
Connecticut,XGBoost,1636378.830154522,410588.14530497685,0.4578282246126346,True
Florida,SARIMA,16618293.240471223,2834703.7807509983,0.35331638384064223,True
Florida,Prophet,26705991.619444147,21840110.374111127,2.9985021182657836,False
Florida,XGBoost,17190638.819863193,4702705.579474298,0.6132328387802011,False
Georgia,SARIMA,6412560.479062716,1108452.1129186472,0.2813616352303063,True
Georgia,Prophet,9635277.423631044,5905125.139068791,1.6042639504134755,False
Georgia,XGBoost,6786503.026103258,2198357.3640850675,0.5824420448763296,False
Illinois,SARIMA,5403356.429341038,1083519.235311785,0.3263103264773144,True
Illinois,Prophet,7049877.666922605,4164036.828784488,1.3155781868452292,False
Illinois,XGBoost,5493287.4974986045,1242595.9598916587,0.37673547457992074,False
Indiana,SARIMA,3141058.9262847174,667163.0250279132,0.2957749293585018,True
Indiana,Prophet,4066343.125499124,2408508.741395493,1.1082092547580085,False
Indiana,XGBoost,3171220.4281208473,758286.9560794511,0.33727695832280963,False
Iowa,SARIMA,899732.5836689575,294640.01151508786,0.25676079758547726,True
Iowa,Prophet,1361736.8535013574,1047604.7421114261,0.920911641804543,False
Iowa,XGBoost,1087851.1555415364,534134.1527889272,0.4680893779527647,False
Kansas,SARIMA,953349.1348281382,254242.79957181853,0.2820804438518954,True
Kansas,Prophet,1984982.9512969966,1622407.626121239,1.847503357997667,False
Kansas,XGBoost,1045191.762453899,467828.3834871631,0.5226370643043348,False
Kentucky,SARIMA,2835918.4561054464,551379.9332913283,0.313218700440563,True
Kentucky,Prophet,4036015.1866002064,3060836.6440674765,1.8410977241277722,False
Kentucky,XGBoost,2937115.3191384175,677622.2371990399,0.3885467520837924,False
Louisiana,SARIMA,3500746.669420182,713912.311902581,0.37810474727604615,True
Louisiana,Prophet,4640408.177542795,2776105.7367058643,1.5482039896697104,False
Louisiana,XGBoost,3584055.383622717,970484.360814606,0.5235175102929314,False
Maine,SARIMA,371478.2389384111,114411.4631427223,0.2423308974443835,True
Maine,Prophet,3346430.0937722763,3135589.509124658,6.796673911535568,False
Maine,XGBoost,393495.5880179914,112106.95497592565,0.23693069006580367,False
Maryland,SARIMA,2967721.566800594,488900.5274310016,0.2869532054741694,False
Maryland,Prophet,3686347.5225032624,2265797.2698335885,1.4346431594627949,False
