State,Date,Forecast,BestModel
Arkansas,2023-12-07,108724628.73922662,SARIMA
Arkansas,2023-12-08,108626491.81586207,SARIMA
Arkansas,2023-12-09,108529292.06142275,SARIMA
Arkansas,2023-12-10,108432682.0000633,SARIMA
Arkansas,2023-12-11,108339396.45959197,SARIMA
Arkansas,2023-12-12,108237117.26711656,SARIMA
Arkansas,2023-12-13,108136536.84996305,SARIMA
Arkansas,2023-12-14,108036823.03993055,SARIMA
Arkansas,2023-12-15,107937658.87583135,SARIMA
Arkansas,2023-12-16,107838840.56443241,SARIMA
Arkansas,2023-12-17,107740239.87329213,SARIMA
Arkansas,2023-12-18,107646213.75869498,SARIMA
Arkansas,2023-12-19,107543126.38537298,SARIMA
Arkansas,2023-12-20,107442294.16096117,SARIMA
Arkansas,2023-12-21,107342662.16194136,SARIMA
Arkansas,2023-12-22,107243790.08513741,SARIMA
Arkansas,2023-12-23,107145396.17279243,SARIMA
Arkansas,2023-12-24,107047303.13499083,SARIMA
Arkansas,2023-12-25,106953469.7373103,SARIMA
Arkansas,2023-12-26,106850588.31662266,SARIMA
Arkansas,2023-12-27,106749822.14635937,SARIMA
Arkansas,2023-12-28,106650172.24904697,SARIMA
Arkansas,2023-12-29,106551229.36103067,SARIMA
Arkansas,2023-12-30,106452731.34317413,SARIMA
Arkansas,2023-12-31,106354513.25015026,SARIMA
Arkansas,2024-01-01,106260632.52471393,SARIMA
Arkansas,2024-01-02,106157700.36397868,SARIMA
Arkansas,2024-01-03,106056917.99160624,SARIMA
Arkansas,2024-01-04,105957272.6157404,SARIMA
Arkansas,2024-01-05,105858347.3107156,SARIMA
Arkansas,2024-01-06,105759875.09454246,SARIMA
Arkansas,2024-01-07,105661687.97463441,SARIMA
Arkansas,2024-01-08,105567818.9768561,SARIMA
Arkansas,2024-01-09,105464899.38296366,SARIMA
Arkansas,2024-01-10,105364121.0261899,SARIMA
Arkansas,2024-01-11,105264474.53488201,SARIMA
Arkansas,2024-01-12,105165544.88044922,SARIMA
Arkansas,2024-01-13,105067066.27996567,SARIMA
Arkansas,2024-01-14,104968871.49532928,SARIMA
Arkansas,2024-01-15,104874999.59560254,SARIMA
Arkansas,2024-01-16,104772076.89186129,SARIMA
Arkansas,2024-01-17,104671297.54147841,SARIMA
Arkansas,2024-01-18,104571651.32637426,SARIMA
Arkansas,2024-01-19,104472722.7484764,SARIMA
Arkansas,2024-01-20,104374245.72811867,SARIMA
Arkansas,2024-01-21,104276052.84048168,SARIMA
Arkansas,2024-01-22,104182181.65898803,SARIMA
Arkansas,2024-01-23,104079259.72492555,SARIMA
Arkansas,2024-01-24,103978480.6204624,SARIMA
Arkansas,2024-01-25,103878834.33700529,SARIMA
Arkansas,2024-01-26,103779905.49267629,SARIMA
Arkansas,2024-01-27,103681428.08125106,SARIMA
Arkansas,2024-01-28,103583234.72412187,SARIMA
California,2023-12-04,921423616.0,XGBoost
California,2023-12-05,913479936.0,XGBoost
California,2023-12-06,901325376.0,XGBoost
California,2023-12-07,888491328.0,XGBoost
California,2023-12-08,873688064.0,XGBoost
California,2023-12-09,863573760.0,XGBoost
California,2023-12-10,832173760.0,XGBoost
California,2023-12-11,823468096.0,XGBoost
California,2023-12-12,815437056.0,XGBoost
California,2023-12-13,815978496.0,XGBoost
California,2023-12-14,817728384.0,XGBoost
California,2023-12-15,812417472.0,XGBoost
California,2023-12-16,810452352.0,XGBoost
California,2023-12-17,808490752.0,XGBoost
California,2023-12-18,810362176.0,XGBoost
California,2023-12-19,808930304.0,XGBoost
California,2023-12-20,808375616.0,XGBoost
California,2023-12-21,809798272.0,XGBoost
California,2023-12-22,810512896.0,XGBoost
California,2023-12-23,810837120.0,XGBoost
California,2023-12-24,814456000.0,XGBoost
California,2023-12-25,809845824.0,XGBoost
California,2023-12-26,804457152.0,XGBoost
California,2023-12-27,797127616.0,XGBoost
California,2023-12-28,791523328.0,XGBoost
California,2023-12-29,786467328.0,XGBoost
California,2023-12-30,780932800.0,XGBoost
California,2023-12-31,777016064.0,XGBoost
California,2024-01-01,777413568.0,XGBoost
California,2024-01-02,771870592.0,XGBoost
California,2024-01-03,767992000.0,XGBoost
California,2024-01-04,765359040.0,XGBoost
California,2024-01-05,766199552.0,XGBoost
